campaign,mfr_recall_no,population,component_name,component_desc,part_number,supplier_name,supplier_country,defect_cause,fmvss,remedy_type,corrected_in_production,chronology_attached,chronology_note,chronology_url,pdf_url,affected_models,supplier_canonical,supplier_group
23V901000,252,10984,Wiring Harness-Battery,12V Battery power line,91851-BE000,Yura Corporation,"Korea, Republic of",Hyundai Motor America (Hyundai) is recalling certain 2024 Kona vehicles.  The 12-Volt battery cables may chafe against the engine control module bracket and short circuit during a crash. ,,"Dealers will install sheathing over the wiring, free of charge.  Owner notification letters were mailed February 22, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 252. ","Protective sheathing for the 12-volt positive wiring was implemented as a running production change on December 18, 2023.",False,Please refer to Attachment A for the requested chronology of events leading up to defect decision.,,https://static.nhtsa.gov/odi/rcl/2023/RCLRPT-23V901-8581.PDF,KONA 2024,Yura Corporation,Yura
24V169000,SC300,36248,"PIPE & HOSE ASSY â T/C OIL FEED, LH",Oil Feed Pipe â Turbocharger (LH),28240-3L100,SAMBO MOTORS,"Korea, Republic of","Kia America, Inc. (Kia) is recalling certain 2019-2020 K900, and 2018-2023 Stinger vehicles equipped with a 3.3-liter turbo gasoline direct injection engine.  The left turbocharger oil feed pipe and hose assembly may deteriorate and leak oil.",,"Dealers will replace the left turbocharger oil feed pipe and hose assembly, free of charge.  Owner notification letters were mailed April 26, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC300.",No production change was made for the K900. The 2020MY K900 was the last model year produced for sale in the United States. Engines with the improved part produced from 8/26/2021 were installed in Stinger vehicles produced beginning on 9/16/2021. One (1) 2023MY Stinger produced on 6/29/2022 was equipped with an engine produced before the 8/26/2021 change was made and thus included within the scope of this recall.,True,See attached document titled “2018-2023MY Stinger & 2019-2020MY K900 Oil Feed Pipe & Hose Assembly Chronology”.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V169-4902.PDF,K900 2019; K900 2020; STINGER 2018; STINGER 2019; STINGER 2020; STINGER 2021; STINGER 2022; STINGER 2023,SAMBO MOTORS,SAMBO MOTORS
24V200000,SC302,48232,ICCU ASSY,ICCU Assembly,36400-1XFA0,Hyundai Mobis,"Korea, Republic of","Kia America, Inc. (Kia) is recalling certain 2022-2024 EV6 vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-Volt battery, which can result in a loss of drive power.",,"Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters are expected to be mailed April 29, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC302.  ",,True,See attached document titled “2022-2024MY EV6 ICCU Assembly Chronology”.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V200-2390.PDF,EV6 2022; EV6 2023; EV6 2024,Hyundai Mobis,Hyundai Mobis
24V200000,SC302,48232,ICCU ASSY,ICCU Assembly,36400-1XFA0QQK,Hyundai Mobis,"Korea, Republic of","Kia America, Inc. (Kia) is recalling certain 2022-2024 EV6 vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-Volt battery, which can result in a loss of drive power.",,"Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters are expected to be mailed April 29, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC302.  ",,True,See attached document titled “2022-2024MY EV6 ICCU Assembly Chronology”.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V200-2390.PDF,EV6 2022; EV6 2023; EV6 2024,Hyundai Mobis,Hyundai Mobis
24V204000,257/021G,99055,ICCU ASSEMBLY,Integrated Charging Control Unit for IONIQ 5,36400-1XAA0,MOBIS Corporation,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2022-2024 IONIQ 5, 2023-2024 IONIQ 6, Genesis GV60, Genesis GV70 ""Electrified,"" and Genesis G80 ""Electrified"" vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-Volt battery, which can result in a loss of drive power.",,"This recall is replaced by NHTSA recall number 24V-868.  Vehicles already repaired under this recall will need to have the new remedy completed. Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed April 22, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 257/021G. ","The updated ICCU software was implemented as a production running change from February 29, 2024, through March 5, 2024, according to the specific affected model.",True,Please see attached chronology of events leading up to defect decision.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V204-3334.PDF,GV60 2023; GV60 2024; GV70 ELECTRIFIED 2023; GV70 ELECTRIFIED 2024; IONIQ 5 2022; IONIQ 5 2023; IONIQ 5 2024; IONIQ 6 2023; IONIQ 6 2024,Hyundai Mobis,Hyundai Mobis
24V204000,257/021G,99055,ICCU ASSEMBLY,Integrated Charging Control Unit for G80 EV,36400-1XBA0,MOBIS Corporation,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2022-2024 IONIQ 5, 2023-2024 IONIQ 6, Genesis GV60, Genesis GV70 ""Electrified,"" and Genesis G80 ""Electrified"" vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-Volt battery, which can result in a loss of drive power.",,"This recall is replaced by NHTSA recall number 24V-868.  Vehicles already repaired under this recall will need to have the new remedy completed. Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed April 22, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 257/021G. ","The updated ICCU software was implemented as a production running change from February 29, 2024, through March 5, 2024, according to the specific affected model.",True,Please see attached chronology of events leading up to defect decision.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V204-3334.PDF,GV60 2023; GV60 2024; GV70 ELECTRIFIED 2023; GV70 ELECTRIFIED 2024; IONIQ 5 2022; IONIQ 5 2023; IONIQ 5 2024; IONIQ 6 2023; IONIQ 6 2024,Hyundai Mobis,Hyundai Mobis
24V204000,257/021G,99055,ICCU ASSEMBLY,Integrated Charging Control Unit for GV60,36400-1XCA0,MOBIS Corporation,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2022-2024 IONIQ 5, 2023-2024 IONIQ 6, Genesis GV60, Genesis GV70 ""Electrified,"" and Genesis G80 ""Electrified"" vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-Volt battery, which can result in a loss of drive power.",,"This recall is replaced by NHTSA recall number 24V-868.  Vehicles already repaired under this recall will need to have the new remedy completed. Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed April 22, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 257/021G. ","The updated ICCU software was implemented as a production running change from February 29, 2024, through March 5, 2024, according to the specific affected model.",True,Please see attached chronology of events leading up to defect decision.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V204-3334.PDF,GV60 2023; GV60 2024; GV70 ELECTRIFIED 2023; GV70 ELECTRIFIED 2024; IONIQ 5 2022; IONIQ 5 2023; IONIQ 5 2024; IONIQ 6 2023; IONIQ 6 2024,Hyundai Mobis,Hyundai Mobis
24V204000,257/021G,99055,ICCU ASSEMBLY,Integrated Charging Control Unit for GV70 EV,36400-1XDA0,MOBIS Corporation,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2022-2024 IONIQ 5, 2023-2024 IONIQ 6, Genesis GV60, Genesis GV70 ""Electrified,"" and Genesis G80 ""Electrified"" vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-Volt battery, which can result in a loss of drive power.",,"This recall is replaced by NHTSA recall number 24V-868.  Vehicles already repaired under this recall will need to have the new remedy completed. Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed April 22, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 257/021G. ","The updated ICCU software was implemented as a production running change from February 29, 2024, through March 5, 2024, according to the specific affected model.",True,Please see attached chronology of events leading up to defect decision.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V204-3334.PDF,GV60 2023; GV60 2024; GV70 ELECTRIFIED 2023; GV70 ELECTRIFIED 2024; IONIQ 5 2022; IONIQ 5 2023; IONIQ 5 2024; IONIQ 6 2023; IONIQ 6 2024,Hyundai Mobis,Hyundai Mobis
24V204000,257/021G,99055,ICCU ASSEMBLY,Integrated Charging Control Unit for IONIQ 6,36400-1XEA0,MOBIS Corporation,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2022-2024 IONIQ 5, 2023-2024 IONIQ 6, Genesis GV60, Genesis GV70 ""Electrified,"" and Genesis G80 ""Electrified"" vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-Volt battery, which can result in a loss of drive power.",,"This recall is replaced by NHTSA recall number 24V-868.  Vehicles already repaired under this recall will need to have the new remedy completed. Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed April 22, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 257/021G. ","The updated ICCU software was implemented as a production running change from February 29, 2024, through March 5, 2024, according to the specific affected model.",True,Please see attached chronology of events leading up to defect decision.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V204-3334.PDF,GV60 2023; GV60 2024; GV70 ELECTRIFIED 2023; GV70 ELECTRIFIED 2024; IONIQ 5 2022; IONIQ 5 2023; IONIQ 5 2024; IONIQ 6 2023; IONIQ 6 2024,Hyundai Mobis,Hyundai Mobis
24V246000,258,18206,HEAD UNIT ASSY-AVN,ccNC AVN,96560-R6050,MOBIS,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe vehicles.  The rearview camera image may be obstructed by a trailer parking assist message.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",111,"Hyundai will release an over-the-air (OTA) software update.  Owner notification letters were mailed beginning May 31, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 258.","The revised software was implemented as a running production change beginning March 6, 2024 at the vehicle assembly plant.",True,Please see attached information regarding technical analysis leading up to the noncompliance decision. Page 3,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V246-1564.PDF,SANTA FE 2024,Hyundai Mobis,Hyundai Mobis
24V246000,258,18206,HEAD UNIT ASSY-AVN,ccNC AVN,96560-R6060,MOBIS,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe vehicles.  The rearview camera image may be obstructed by a trailer parking assist message.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",111,"Hyundai will release an over-the-air (OTA) software update.  Owner notification letters were mailed beginning May 31, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 258.","The revised software was implemented as a running production change beginning March 6, 2024 at the vehicle assembly plant.",True,Please see attached information regarding technical analysis leading up to the noncompliance decision. Page 3,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V246-1564.PDF,SANTA FE 2024,Hyundai Mobis,Hyundai Mobis
24V246000,258,18206,HEAD UNIT ASSY-AVN,ccNC AVN,96560-R6240,MOBIS,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe vehicles.  The rearview camera image may be obstructed by a trailer parking assist message.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",111,"Hyundai will release an over-the-air (OTA) software update.  Owner notification letters were mailed beginning May 31, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 258.","The revised software was implemented as a running production change beginning March 6, 2024 at the vehicle assembly plant.",True,Please see attached information regarding technical analysis leading up to the noncompliance decision. Page 3,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V246-1564.PDF,SANTA FE 2024,Hyundai Mobis,Hyundai Mobis
24V246000,258,18206,HEAD UNIT ASSY-AVN,ccNC AVN,96560-R6260,MOBIS,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe vehicles.  The rearview camera image may be obstructed by a trailer parking assist message.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",111,"Hyundai will release an over-the-air (OTA) software update.  Owner notification letters were mailed beginning May 31, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 258.","The revised software was implemented as a running production change beginning March 6, 2024 at the vehicle assembly plant.",True,Please see attached information regarding technical analysis leading up to the noncompliance decision. Page 3,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V246-1564.PDF,SANTA FE 2024,Hyundai Mobis,Hyundai Mobis
24V287000,SC309,95,WIRING ASSY-MAIN,Main Wiring Harness Assembly,91150-R5***,,,"Kia America, Inc. (Kia) is recalling certain 2024 Sorento vehicles.  The motor driven power steering (MDPS) wiring harness may be incorrectly assembled, which can result in a loss of power steering assist.",,"Dealers will inspect and repair, or replace the MDPS wiring harness as necessary, free of charge.  Owner notification letters were mailed May 7, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC309.",,,,,,SORENTO 2024,,
24V308000,260,13511,VALVE ASSY-EGR,EGR valve assembly - 2024 Kona specification,28400-2J310,Borgwarner,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2024 Elantra, Venue, and Kona vehicles.  An electrical short circuit may occur in the exhaust gas recirculation (EGR) valve assembly, which can result in a loss of drive power.",,"Dealers will replace the exhaust gas recirculation valve assembly, free of charge.  Owner notification letters were mailed June 28, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 260.  ","The flux application procedure was removed from the manufacturing process beginning January 29, 2024.",False,Please see attachment for the requested chronology.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V308-1849.PDF,ELANTRA 2024; KONA 2024; VENUE 2024,BorgWarner,BorgWarner
24V308000,260,13511,VALVE ASSY-EGR,EGR valve assembly - 2024 Elantra/Venue specification,28410-2M330,Borgwarner,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2024 Elantra, Venue, and Kona vehicles.  An electrical short circuit may occur in the exhaust gas recirculation (EGR) valve assembly, which can result in a loss of drive power.",,"Dealers will replace the exhaust gas recirculation valve assembly, free of charge.  Owner notification letters were mailed June 28, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 260.  ","The flux application procedure was removed from the manufacturing process beginning January 29, 2024.",False,Please see attachment for the requested chronology.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V308-1849.PDF,ELANTRA 2024; KONA 2024; VENUE 2024,BorgWarner,BorgWarner
24V338000,SC312,4,S/BELT ASSY-FR RH,Front Passenger Seatbelt Assembly,88820-DO500EMA,,,"Kia America, Inc. (Kia) is recalling certain 2024 EV9 vehicles.  The front passenger seat belt retractor cover may not be secured properly, which can cause the front passenger seat belt automatic locking retractor (ALR) and emergency locking retractor (ELR) to not operate as intended.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard numbers 208, ""Occupant Crash Protection"" and 209, ""Seat Belt Assemblies.""",208,"Dealers will replace the front passenger seat belt assembly, free of charge.  Owner notification letters were mailed June 5, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC312. ",,,,,,EV9 2024,,
24V358000,SC314,2209,SAFETY PLUG ASSY-FEMALE,Safety Plug Assembly (Female),37518-K4000,KET,"Korea, Republic of","Kia America, Inc. (Kia) is recalling certain 2022 Niro EV vehicles.  The high voltage battery safety plug may overheat and melt, which can cause a loss of drive power or fire.",,"Owners are advised not to charge their vehicle in a garage or any other covered structure until the recall repair is completed.  Dealers will replace the safety plug, free of charge.  Owner notification letters were mailed July 19, 2024.  Kia's number for this recall is SC314. ",,True,See attached document titled “2022MY Niro EV High Voltage Battery Safety Plug Chronology”.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V358-2557.PDF,NIRO EV 2022,KET,KET
24V529000,263,12349,TRANSMISSION CONTROL UNIT,TCU specified for Hyundai Santa Fe,954A1-2N820,Transys Korea,"Korea, Republic of",Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe vehicles.  A software error in the transmission control unit may result in a vehicle roll away when the vehicle is in PARK.,,"Owners are advised to use the emergency parking brake after parking their vehicles.  Hyundai will release an over-the-air (OTA) software update for the transmission control unit.  In addition, dealers will inspect and replace the dual clutch transmission, as necessary.  All repairs will be performed free of charge.  Owner notification letters were mailed beginning August 26, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 263.","The revised software update was implemented at the plant on June 14, 2024.",True,Please see attached for the requested chronology.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V529-5689.PDF,SANTA FE 2024,Transys Korea,Transys Korea
24V529000,263,12349,TRANSMISSION CONTROL UNIT,TCU specified for Hyundai Santa Fe,954A1-2N830,Transys Korea,"Korea, Republic of",Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe vehicles.  A software error in the transmission control unit may result in a vehicle roll away when the vehicle is in PARK.,,"Owners are advised to use the emergency parking brake after parking their vehicles.  Hyundai will release an over-the-air (OTA) software update for the transmission control unit.  In addition, dealers will inspect and replace the dual clutch transmission, as necessary.  All repairs will be performed free of charge.  Owner notification letters were mailed beginning August 26, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 263.","The revised software update was implemented at the plant on June 14, 2024.",True,Please see attached for the requested chronology.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V529-5689.PDF,SANTA FE 2024,Transys Korea,Transys Korea
24V583000,267,38331,HYDRAULIC UNIT ASSY,Assembly containing Hydraulic Electronic Control Unit (âHECUâ),58910-L1310,Hyundai MOBIS,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2024 Hyundai Sonata vehicles.  The software for the brake lights may cause the brake lights to flash and not illuminate properly.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Associated Equipment.""",108,"Dealers will update the rear brake light software, free of charge.  Additionally, Hyundai will release the software update over-the-air (OTA).  Owner notification letters were mailed September 12, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 267.","The brake light software was implemented as a production running change on June 12, 2024.",False,Please see attachment for requested information. Page 3,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V583-3553.PDF,SONATA 2024,Hyundai Mobis,Hyundai Mobis
24V583000,267,38331,HYDRAULIC UNIT ASSY,Assembly containing Hydraulic Electronic Control Unit (âHECUâ),58910-L1410,Hyundai MOBIS,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2024 Hyundai Sonata vehicles.  The software for the brake lights may cause the brake lights to flash and not illuminate properly.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Associated Equipment.""",108,"Dealers will update the rear brake light software, free of charge.  Additionally, Hyundai will release the software update over-the-air (OTA).  Owner notification letters were mailed September 12, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 267.","The brake light software was implemented as a production running change on June 12, 2024.",False,Please see attachment for requested information. Page 3,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V583-3553.PDF,SONATA 2024,Hyundai Mobis,Hyundai Mobis
24V583000,267,38331,HYDRAULIC UNIT ASSY,Assembly containing Hydraulic Electronic Control Unit (âHECUâ),58910-L1560,Hyundai MOBIS,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2024 Hyundai Sonata vehicles.  The software for the brake lights may cause the brake lights to flash and not illuminate properly.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Associated Equipment.""",108,"Dealers will update the rear brake light software, free of charge.  Additionally, Hyundai will release the software update over-the-air (OTA).  Owner notification letters were mailed September 12, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 267.","The brake light software was implemented as a production running change on June 12, 2024.",False,Please see attachment for requested information. Page 3,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V583-3553.PDF,SONATA 2024,Hyundai Mobis,Hyundai Mobis
24V693000,SC324,12400,UNIT ASSY-INTEGRATED ELECTRIC BRAKE,Integrated Electronic Brake,58520-XA000,HL Mando,"Korea, Republic of","Kia America, Inc. (Kia) is recalling certain 2024 EV9 vehicles.  A software error may cause the remote smart parking assist feature, which allows the operator to remotely move the vehicle, to miscalculate stopping distances. ",,"Dealers will update the integrated electronic brake software, free of charge.  Owner notification letters were mailed October 4, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC324. ",2024MY EV9 vehicles manufactured beginning on 5/29/2024 have the updated IEB software installed.,True,See attached document titled “2024MY EV9 Remote Smart Parking Assist Chronology”.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V693-6879.PDF,EV9 2024,HL Mando,HL Mando
24V757000,SC326,14163,UNIT ASSY-CLUSTER,Cluster Unit Assembly,940C3-DO010,Hyundai Mobis,"Korea, Republic of","Kia America, Inc. (Kia) is recalling certain 2024-2025 EV9 vehicles.  Due to a software error, the instrument panel screen may fail.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Controls and Displays.""",101,"The instrument cluster software will be updated by a dealer or through an over-the-air (OTA) update, free of charge.  Owner notification letters were mailed October 25, 2024.  Owners may contact Kia Customer Service at 1-800-333-4542.  Kia's number for this recall is SC326.","The condition was caused by an OTA update and thus not corrected during the 2024MY EV9 vehicle production. On 9/2/24, the OTA update was discontinued. No 2025MY EV9 vehicles with the same software logic error as the recalled vehicles have been distributed for sale in the U.S. with the exception of one (1) 2025MY EV9 vehicle sold in a U.S. Territory.",True,See attached document titled “2024-2025MY EV9 Instrument Cluster Screen Chronology”. Page 3,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V757-9102.PDF,EV9 2024; EV9 2025,Hyundai Mobis,Hyundai Mobis
24V843000,270,34964,Overhead Console Lamp,Overhead console assembly on the roof,92810-R6110,IL HEUNG,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe and Santa Fe Hybrid vehicles. The overhead console rear sunshade switch knob may not be fully recessed, which can result in unintentional closing of the sunshade.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 118, ""Power-Operated Window, Partition and Roof Panel Systems.""",118,"Dealers will replace the switch knobs, free of charge.  Owner notification letters were mailed December 2, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 270.","The revised component was implemented as a running production change on July 29, 2024.",True,Please see attached information regarding technical analysis leading up to the noncompliance decision. Page 3,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V843-7446.PDF,SANTA FE 2024; SANTA FE HYBRID 2024,IL HEUNG,IL HEUNG
24V867000,SC327,62872,ICCU ASSY,Integrated Charging Control Unit Assembly,36400-1XFA0,Hyundai Mobis,"Korea, Republic of","Kia America, Inc. (Kia) is recalling certain 2022-2024 EV6 vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-volt battery, which can result in a loss of drive power.",,"Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed December 13, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC327.  This recall expands and replaces previous recall number 24V-200.  Vehicles previously repaired under recall 24V-200 will need to have the new remedy completed. ",,True,See attached document titled “2022-2024MY EV6 ICCU Assembly Chronology”.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V867-8124.PDF,EV6 2022; EV6 2023; EV6 2024,Hyundai Mobis,Hyundai Mobis
24V867000,SC327,62872,ICCU ASSY,Integrated Charging Control Unit Assembly,36400-1XFA0QQK,Hyundai Mobis,"Korea, Republic of","Kia America, Inc. (Kia) is recalling certain 2022-2024 EV6 vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-volt battery, which can result in a loss of drive power.",,"Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed December 13, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC327.  This recall expands and replaces previous recall number 24V-200.  Vehicles previously repaired under recall 24V-200 will need to have the new remedy completed. ",,True,See attached document titled “2022-2024MY EV6 ICCU Assembly Chronology”.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V867-8124.PDF,EV6 2022; EV6 2023; EV6 2024,Hyundai Mobis,Hyundai Mobis
24V868000,"272 (H), 025G (G)",145642,ICCU ASSEMBLY,Integrated Charging Control Unit,36400-1XAA0,MOBIS Corporation,"Korea, Republic of","Hyundai Motor America (Hyundai) is recalling certain 2022-2024 IONIQ 5, 2023-2025 IONIQ 6, Genesis GV60, Genesis GV70 ""Electrified,"" and Genesis G80 ""Electrified"" vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-volt battery, which can result in a loss of drive power.",,"Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed December 20, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460 or Genesis customer service at 1-844-340-9741.  Hyundai's numbers for this recall are 272 (Hyundai) and 025G (Genesis).  This recall expands and replaces previous recall number 24V-204. Vehicles previously repaired under recall 24V-204 will need to have the new remedy completed. ","The improved ICCU software was implemented as a production running change from November 2, 2024, for the subject vehicles.",True,Please see attached.,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V868-6505.PDF,GV60 2023; GV60 2024; GV60 2025; GV70 ELECTRIFIED 2023; GV70 ELECTRIFIED 2024; GV70 ELECTRIFIED 2025; IONIQ 5 2022; IONIQ 5 2023; IONIQ 5 2024; IONIQ 6 2023; IONIQ 6 2024; IONIQ 6 2025,Hyundai Mobis,Hyundai Mobis
24V877000,273,42465,Cover assy - Console Upr,"Console upper Assy with Cover, switch & wiring",84650-CW000,SEOYON E-HWA AUBURN,United States,"Hyundai Motor America (Hyundai) is recalling certain 2025 Tucson and Santa Cruz vehicles.  The console extension wiring assembly may be routed improperly, allowing the transmission to be shifted out of Park without applying the brake pedal. ",,"Owners are advised to use the parking brake when parking the vehicle.  Dealers will reroute the console extension wiring assembly, free of charge.  Owner notification letters were mailed December 17, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 273. ","The console extension wiring routing was modified as a production running change on October 25, 2024.",True,Please see attached. Page 3,,https://static.nhtsa.gov/odi/rcl/2024/RCLRPT-24V877-1247.PDF,SANTA CRUZ 2025; TUCSON 2025,SEOYON E-HWA AUBURN,Seoyon E-Hwa
